id,name,code,price
1,Adjustable Race,AR-5381,0.0000
2,Bearing Ball,BA-8327,0.0000
3,BB Ball Bearing,BE-2349,0.0000
4,Headset Ball Bearings,BE-2908,0.0000
316,Blade,BL-2036,0.0000
320,Chainring Bolts,CB-2903,0.0000
327,Down Tube,DT-2377,0.0000
398,Handlebar Tube,HT-2981,0.0000
399,Head Tube,HT-8019,0.0000
400,LL Hub,HU-6280,0.0000
401,HL Hub,HU-8998,0.0000
477,Metal Bar 1,MB-2024,0.0000
478,Metal Bar 2,MB-6061,0.0000
492,Paint - Black,PA-187B,0.0000
495,Paint - Blue,PA-632U,0.0000
497,Pinch Bolt,PB-6109,0.0000
514,LL Mountain Seat Assembly,SA-M198,158.8100
515,ML Mountain Seat Assembly,SA-M237,175.2500
516,HL Mountain Seat Assembly,SA-M687,234.5400
517,LL Road Seat Assembly,SA-R127,158.8100
518,ML Road Seat Assembly,SA-R430,175.2500
519,HL Road Seat Assembly,SA-R522,234.5400
520,LL Touring Seat Assembly,SA-T467,158.8100
521,ML Touring Seat Assembly,SA-T612,175.2500
522,HL Touring Seat Assembly,SA-T872,234.5400
533,Seat Tube,ST-9828,0.0000
534,Top Tube,TO-2301,0.0000
680,HL Road Frame - Black, 58,FR-R92B-58,1704.9400
708,Sport-100 Helmet, Black,HL-U509,41.6800
709,Mountain Bike Socks, M,SO-B909-M,11.3100
710,Mountain Bike Socks, L,SO-B909-L,11.3100
711,Sport-100 Helmet, Blue,HL-U509-B,41.6800
722,LL Road Frame - Black, 58,FR-R38B-58,401.6300
723,LL Road Frame - Black, 60,FR-R38B-60,401.6300
724,LL Road Frame - Black, 62,FR-R38B-62,401.6300
736,LL Road Frame - Black, 44,FR-R38B-44,401.6300
737,LL Road Frame - Black, 48,FR-R38B-48,401.6300
738,LL Road Frame - Black, 52,FR-R38B-52,401.6300
743,HL Mountain Frame - Black, 42,FR-M94B-42,1607.3900
744,HL Mountain Frame - Black, 44,FR-M94B-44,1607.3900
745,HL Mountain Frame - Black, 48,FR-M94B-48,1607.3900
746,HL Mountain Frame - Black, 46,FR-M94B-46,1607.3900
747,HL Mountain Frame - Black, 38,FR-M94B-38,1607.3900
765,Road-650 Black, 58,BK-R50B-58,932.5600
766,Road-650 Black, 60,BK-R50B-60,932.5600
767,Road-650 Black, 62,BK-R50B-62,932.5600
768,Road-650 Black, 44,BK-R50B-44,932.5600
769,Road-650 Black, 48,BK-R50B-48,932.5600
770,Road-650 Black, 52,BK-R50B-52,932.5600
775,Mountain-100 Black, 38,BK-M82B-38,4019.6700
776,Mountain-100 Black, 42,BK-M82B-42,4019.6700
777,Mountain-100 Black, 44,BK-M82B-44,4019.6700
778,Mountain-100 Black, 48,BK-M82B-48,4019.6700
782,Mountain-200 Black, 38,BK-M68B-38,2733.3700
783,Mountain-200 Black, 42,BK-M68B-42,2733.3700
784,Mountain-200 Black, 46,BK-M68B-46,2733.3700
785,Mountain-300 Black, 38,BK-M47B-38,1286.2900
786,Mountain-300 Black, 40,BK-M47B-40,1286.2900
787,Mountain-300 Black, 44,BK-M47B-44,1286.2900
788,Mountain-300 Black, 48,BK-M47B-48,1286.2900
793,Road-250 Black, 44,BK-R89B-44,2910.0700
794,Road-250 Black, 48,BK-R89B-48,2910.0700
795,Road-250 Black, 52,BK-R89B-52,2910.0700
796,Road-250 Black, 58,BK-R89B-58,2910.0700
808,LL Mountain Handlebars,HB-M243,53.0400
809,ML Mountain Handlebars,HB-M763,73.7500
810,HL Mountain Handlebars,HB-M918,143.2500
811,LL Road Handlebars,HB-R504,53.0400
812,ML Road Handlebars,HB-R720,73.7500
813,HL Road Handlebars,HB-R956,143.2500
